--color-1: #08F867;
--color-2: #6808F8;
--color-3: #F86808;

Color	Name	Hex code	RGB code	HSL code
	Almond	EADDCA	234, 221, 202	36, 43, 85
	Brass	E1C16E	225, 193, 110	43, 66, 66
	Bronze	CD7F32	205, 127, 50	30, 61, 50
	Brown	A52A2A	165, 42, 42	0, 59, 41
	Buff	DAA06D	218, 160, 109	28, 60, 64
	Burgundy	800020	128, 0, 32	345, 100, 25
	Burnt Sienna	E97451	233, 116, 81	14, 78, 62
	Burnt Umber	6E260E	110, 38, 14	15, 77, 24
	Camel	C19A6B	193, 154, 107	33, 41, 59
	Chestnut	954535	149, 69, 53	10, 48, 40
	Chocolate	7B3F00	123, 63, 0	31, 100, 24
	Cinnamon	D27D2D	210, 125, 45	29, 65, 50
	Coffee	6F4E37	111, 78, 55	25, 34, 33
	Cognac	834333	131, 67, 51	12, 44, 36
	Copper	B87333	184, 115, 51	29, 57, 46
	Cordovan	814141	129, 65, 65	0, 33, 38
	Dark Brown	5C4033	92, 64, 51	19, 29, 28
	Dark Red	8B0000	139, 0, 0	0, 100, 27
	Dark Tan	988558	152, 133, 88	42, 27, 47
	Ecru	C2B280	194, 178, 128	45, 35, 63
	Fallow	C19A6B	193, 154, 107	33, 41, 59
	Fawn	E5AA70	229, 170, 112	30, 69, 67
	Garnet	9A2A2A	154, 42, 42	0, 57, 38
	Golden Brown	966919	150, 105, 25	38, 71, 34
	Khaki	F0E68C	240, 230, 140	54, 77, 75
	Light Brown	C4A484	196, 164, 132	30, 35, 64
	Mahogany	C04000	192, 64, 0	20, 100, 38
	Maroon	800000	128, 0, 0	0, 100, 25
	Mocha	967969	150, 121, 105	21, 18, 50
	Nude	F2D2BD	242, 210, 189	24, 67, 85
	Ochre	CC7722	204, 119, 34	30, 71, 47
	Olive Green	808000	128, 128, 0	60, 100, 25
	Oxblood	4A0404	74, 4, 4	0, 90, 15
	Puce	A95C68	169, 92, 104	351, 31, 51
	Red Brown	A52A2A	165, 42, 42	0, 59, 41
	Red Ochre	913831	145, 56, 49	4, 49, 38
	Russet	80461B	128, 70, 27	26, 65, 30
	Saddle Brown	8B4513	139, 69, 19	25, 76, 31
	Sand	C2B280	194, 178, 128	45, 35, 63
	Sienna	A0522D	160, 82, 45	19, 56, 40
	Tan	D2B48C	210, 180, 140	34, 44, 69
	Taupe	483C32	72, 60, 50	27, 18, 24
	Tuscan Red	7C3030	124, 48, 48	0, 44, 34
	Wheat	F5DEB3	245, 222, 179	39, 77, 83
	Wine	722F37	114, 47, 55	353, 42, 32
